date,terminal,volume_bbl,total_liquids_mbbl
2024-03-01,ANTAN,351219.0,0.351219
2024-04-01,ANTAN,316850.0,0.31685
2024-05-01,ANTAN,347468.0,0.347468
2024-06-01,ANTAN,338999.0,0.338999
2024-07-01,ANTAN,326256.0,0.326256
2024-08-01,ANTAN,301796.0,0.301796
2024-09-01,ANTAN,282378.0,0.282378
2024-10-01,ANTAN,322482.0,0.322482
2024-11-01,ANTAN,262803.0,0.262803
2024-12-01,ANTAN,317201.0,0.317201
2025-01-01,ANTAN,264704.0,0.264704
2025-02-01,ANTAN,233546.0,0.233546
2025-03-01,ANTAN,257473.0,0.257473
2025-04-01,ANTAN,167148.0,0.167148
2025-05-01,ANTAN,177763.0,0.177763
2025-06-01,ANTAN,198236.0,0.198236
2025-07-01,ANTAN,161708.0,0.161708
2025-08-01,ANTAN,151628.0,0.151628
2025-09-01,ANTAN,145910.0,0.14591
2025-10-01,ANTAN,167509.0,0.167509
2025-11-01,ANTAN,29839.0,0.029839
2025-12-01,ANTAN,136740.0,0.13674
2026-01-01,ANTAN,150595.0,0.150595
2026-02-01,ANTAN,143997.0,0.143997
2026-03-01,ANTAN,183073.0,0.183073
2026-04-01,ANTAN,226969.0,0.226969
2020-10-01,ANYALA MADU (CJ Blend),83180.0,0.08318
2020-11-01,ANYALA MADU (CJ Blend),301651.0,0.301651
2020-12-01,ANYALA MADU (CJ Blend),337217.0,0.337217
2021-01-01,ANYALA MADU (CJ Blend),329134.0,0.329134
2021-02-01,ANYALA MADU (CJ Blend),405051.0,0.405051
2021-03-01,ANYALA MADU (CJ Blend),686773.0,0.686773
2021-04-01,ANYALA MADU (CJ Blend),926747.0,0.926747
2021-05-01,ANYALA MADU (CJ Blend),1046870.0,1.04687
2021-06-01,ANYALA MADU (CJ Blend),909461.0,0.909461
2021-07-01,ANYALA MADU (CJ Blend),1074960.0,1.07496
2021-08-01,ANYALA MADU (CJ Blend),984846.0,0.984846
2021-09-01,ANYALA MADU (CJ Blend),959460.0,0.95946
2021-10-01,ANYALA MADU (CJ Blend),1236645.0,1.236645
2021-11-01,ANYALA MADU (CJ Blend),1190189.0,1.190189
2021-12-01,ANYALA MADU (CJ Blend),1035335.0,1.035335
2022-01-01,ANYALA MADU (CJ Blend),1293203.0,1.293203
2022-02-01,ANYALA MADU (CJ Blend),1184526.0,1.184526
2022-03-01,ANYALA MADU (CJ Blend),1348674.0,1.348674
2022-04-01,ANYALA MADU (CJ Blend),1215099.0,1.215099
2022-05-01,ANYALA MADU (CJ Blend),1348109.0,1.348109
2022-06-01,ANYALA MADU (CJ Blend),1306317.0,1.306317
2022-07-01,ANYALA MADU (CJ Blend),1284636.0,1.284636
2022-08-01,ANYALA MADU (CJ Blend),1227764.0,1.227764
2022-09-01,ANYALA MADU (CJ Blend),1286366.0,1.286366
2022-10-01,ANYALA MADU (CJ Blend),1304739.0,1.304739
2022-11-01,ANYALA MADU (CJ Blend),1248715.0,1.248715
2022-12-01,ANYALA MADU (CJ Blend),1368479.0,1.368479
2023-01-01,ANYALA MADU (CJ Blend),1345599.0,1.345599
2023-02-01,ANYALA MADU (CJ Blend),1244335.0,1.244335
2023-03-01,ANYALA MADU (CJ Blend),1383043.0,1.383043
2023-04-01,ANYALA MADU (CJ Blend),1066505.0,1.066505
2023-05-01,ANYALA MADU (CJ Blend),925650.0,0.92565
2023-06-01,ANYALA MADU (CJ Blend),1301599.0,1.301599
2023-07-01,ANYALA MADU (CJ Blend),1381639.0,1.381639
2023-08-01,ANYALA MADU (CJ Blend),1364711.0,1.364711
2023-09-01,ANYALA MADU (CJ Blend),1331405.0,1.331405
2023-10-01,ANYALA MADU (CJ Blend),1326431.0,1.326431
2023-11-01,ANYALA MADU (CJ Blend),1259492.0,1.259492
2023-12-01,ANYALA MADU (CJ Blend),1209893.0,1.209893
2024-01-01,ANYALA MADU (CJ Blend),1146593.0,1.146593
2024-02-01,ANYALA MADU (CJ Blend),1127530.0,1.12753
2024-03-01,ANYALA MADU (CJ Blend),1099253.0,1.099253
2024-04-01,ANYALA MADU (CJ Blend),1171240.0,1.17124
2024-05-01,ANYALA MADU (CJ Blend),1535090.0,1.53509
2024-06-01,ANYALA MADU (CJ Blend),1185654.0,1.185654
2024-07-01,ANYALA MADU (CJ Blend),1661520.0,1.66152
2024-08-01,ANYALA MADU (CJ Blend),1619353.0,1.619353
2024-09-01,ANYALA MADU (CJ Blend),1683389.0,1.683389
2024-10-01,ANYALA MADU (CJ Blend),1678744.0,1.678744
2024-11-01,ANYALA MADU (CJ Blend),1577589.0,1.577589
2024-12-01,ANYALA MADU (CJ Blend),1631554.0,1.631554
2025-01-01,ANYALA MADU (CJ Blend),1534466.0,1.534466
2025-02-01,ANYALA MADU (CJ Blend),897054.0,0.897054
2025-03-01,ANYALA MADU (CJ Blend),1561722.0,1.561722
2025-04-01,ANYALA MADU (CJ Blend),1472628.0,1.472628
2025-05-01,ANYALA MADU (CJ Blend),1178584.0,1.178584
2025-06-01,ANYALA MADU (CJ Blend),1586958.0,1.586958
2025-07-01,ANYALA MADU (CJ Blend),1480409.0,1.480409
2025-08-01,ANYALA MADU (CJ Blend),1631658.0,1.631658
2025-09-01,ANYALA MADU (CJ Blend),1251366.0,1.251366
2025-10-01,ANYALA MADU (CJ Blend),1595384.0,1.595384
2025-11-01,ANYALA MADU (CJ Blend),1266216.0,1.266216
2025-12-01,ANYALA MADU (CJ Blend),1611862.0,1.611862
2026-01-01,ANYALA MADU (CJ Blend),1416765.0,1.416765
2026-02-01,ANYALA MADU (CJ Blend),410267.0,0.410267
2026-03-01,ANYALA MADU (CJ Blend),1215276.0,1.215276
2026-04-01,ANYALA MADU (CJ Blend),1808904.0,1.808904
2020-01-01,BONGA,5256020.0,5.25602
2020-02-01,BONGA,4772251.0,4.772251
2020-03-01,BONGA,4656816.0,4.656816
2020-04-01,BONGA,4516881.0,4.516881
2020-05-01,BONGA,3042038.0,3.042038
2020-06-01,BONGA,2270282.0,2.270282
2020-07-01,BONGA,3168540.0,3.16854
2020-08-01,BONGA,3179025.0,3.179025
2020-09-01,BONGA,2655215.0,2.655215
2020-10-01,BONGA,3138336.0,3.138336
2020-11-01,BONGA,2812803.0,2.812803
2020-12-01,BONGA,3538839.0,3.538839
2021-01-01,BONGA,3130842.0,3.130842
2021-02-01,BONGA,2613751.0,2.613751
2021-03-01,BONGA,3534348.0,3.534348
2021-04-01,BONGA,2915533.0,2.915533
2021-05-01,BONGA,3188023.0,3.188023
2021-06-01,BONGA,3098341.0,3.098341
2021-07-01,BONGA,3543831.0,3.543831
2021-08-01,BONGA,3503413.0,3.503413
2021-09-01,BONGA,2975790.0,2.97579
2021-10-01,BONGA,3556165.0,3.556165
2021-11-01,BONGA,3432813.0,3.432813
2021-12-01,BONGA,2859499.0,2.859499
2022-01-01,BONGA,3460075.0,3.460075
2022-02-01,BONGA,2860638.0,2.860638
2022-03-01,BONGA,2283067.0,2.283067
2022-04-01,BONGA,2874241.0,2.874241
2022-05-01,BONGA,2942847.0,2.942847
2022-06-01,BONGA,3144461.0,3.144461
2022-07-01,BONGA,2822521.0,2.822521
2022-08-01,BONGA,3134311.0,3.134311
2022-09-01,BONGA,3192789.0,3.192789
2022-10-01,BONGA,1892443.0,1.892443
2022-11-01,BONGA,2129021.0,2.129021
2022-12-01,BONGA,3185084.0,3.185084
2023-01-01,BONGA,3480675.0,3.480675
2023-02-01,BONGA,3284419.0,3.284419
2023-03-01,BONGA,3828101.0,3.828101
2023-04-01,BONGA,3716684.0,3.716684
2023-05-01,BONGA,3973141.0,3.973141
2023-06-01,BONGA,3776535.0,3.776535
2023-07-01,BONGA,3871574.0,3.871574
2023-08-01,BONGA,3955502.0,3.955502
2023-09-01,BONGA,3613655.0,3.613655
2023-10-01,BONGA,4297092.0,4.297092
2023-11-01,BONGA,3816297.0,3.816297
2023-12-01,BONGA,3934577.0,3.934577
2024-01-01,BONGA,3748506.0,3.748506
2024-02-01,BONGA,3599339.0,3.599339
2024-03-01,BONGA,2956265.0,2.956265
2024-04-01,BONGA,3555910.0,3.55591
2024-05-01,BONGA,3790062.0,3.790062
2024-06-01,BONGA,3395007.0,3.395007
2024-07-01,BONGA,3892206.0,3.892206
2024-08-01,BONGA,3917328.0,3.917328
2024-09-01,BONGA,3665508.0,3.665508
2024-10-01,BONGA,3848886.0,3.848886
2024-11-01,BONGA,4063082.0,4.063082
2024-12-01,BONGA,4538017.0,4.538017
2025-01-01,BONGA,4016863.0,4.016863
2025-02-01,BONGA,3689442.0,3.689442
2025-03-01,BONGA,3905815.0,3.905815
2025-04-01,BONGA,3692392.0,3.692392
2025-05-01,BONGA,3678389.0,3.678389
2025-06-01,BONGA,3531538.0,3.531538
2025-07-01,BONGA,3684667.0,3.684667
2025-08-01,BONGA,3454658.0,3.454658
2025-09-01,BONGA,3240435.0,3.240435
2025-10-01,BONGA,3705503.0,3.705503
2025-11-01,BONGA,3772460.0,3.77246
2025-12-01,BONGA,3800029.0,3.800029
2026-01-01,BONGA,3701453.0,3.701453
